DOW,SP100,NAV
10927.07,1186.44,9.68
10997.35,1194.37,9.72
11005.97,1196.48,9.75
11019.42,1197.3,9.76
11123.11,1210.65,9.98
11144.57,1211.67,10.03
11018.66,1192.13,9.89
11092.05,1197.52,9.87
11117.06,1207.17,10.02
11124.92,1205.94,10.09
11134.29,1208.67,10.23
11204.28,1217.28,10.35
11205.03,1212.05,10.3
10991.99,1183.71,10.02
11045.27,1191.36,10.05
11167.32,1206.78,10.25
11008.61,1186.69,9.96
11151.83,1202.26,10.13
10926.77,1173.6,9.79
10868.12,1165.9,9.64
10520.32,1128.15,9.29
10380.43,1110.88,9.01
10785.14,1159.73,9.53
10748.26,1155.79,9.59
10896.91,1171.67,9.86
10782.95,1157.44,9.75
10620.16,1135.68,9.53
10625.83,1136.94,9.55
10510.95,1120.8,9.37
10444.37,1115.05,9.26
10068.01,1071.59,8.76
10193.39,1087.69,8.9
10066.57,1073.65,8.77
10043.75,1074.03,8.75
9974.45,1067.95,8.79
10258.99,1103.06,9.2
10136.63,1089.41,9.08
10024.02,1070.71,8.75
10249.54,1098.38,9
10255.28,1102.83,9.07
9931.97,1064.88,8.63
9816.49,1050.47,8.42
9939.98,1062,8.4
9899.25,1055.69,8.4
10172.53,1086.84,8.7
10211.07,1091.6,8.82
10190.89,1089.63,8.86
10404.77,1115.23,9.1
10409.46,1114.61,9.05
10434.17,1116.04,9.02
10450.64,1117.51,9.04
10442.41,1113.2,8.95
10293.52,1095.31,8.77
10298.44,1092.04,8.75
10152.8,1073.69,8.59
10143.81,1076.76,8.75
10138.52,1074.57,8.7
9870.3,1041.24,8.33
9774.02,1030.71,8.23
9732.53,1027.37,8.16
9686.48,1022.58,8.08
9743.62,1028.06,7.98
10018.28,1060.27,8.28
10138.99,1070.25,8.41
10198.03,1077.96,8.54
10216.27,1078.75,8.46
10363.02,1095.34,8.75
10366.72,1095.17,8.7
10359.31,1096.48,8.64
10097.9,1064.88,8.31
10154.43,1071.25,8.34
10229.96,1083.48,8.49
10120.53,1069.59,8.35
10322.3,1093.67,8.66
10424.62,1102.66,8.85
10525.43,1115.01,9.03
10537.69,1113.84,8.98
10497.88,1106.13,8.86
10467.16,1101.53,8.9
10465.94,1101.6,8.9
10674.38,1125.86,9.05
10636.38,1120.46,8.94
10680.43,1127.24,9.05
10674.98,1125.81,8.97
10653.56,1121.64,8.91
10698.75,1127.79,9.03
10644.25,1121.06,8.85
10378.83,1089.47,8.49
10319.95,1083.61,8.45
10303.15,1079.25,8.36
10302.01,1079.38,8.42
10405.85,1092.54,8.57
10415.54,1094.16,8.6
10271.21,1075.63,8.38
10213.62,1071.69,8.37
10174.41,1067.36,8.24
10040.45,1051.87,8.13
10060.06,1055.33,8.24
9985.81,1047.22,8.16
10150.65,1064.59,8.39
10009.73,1048.92,8.18
10014.72,1049.33,8.19
10269.47,1080.29,8.52
10320.1,1090.1,8.61
10447.93,1104.51,8.76
10340.69,1091.84,8.56
10387.01,1098.87,8.62
10415.24,1104.18,8.66
10462.77,1109.55,8.68
10544.13,1121.9,8.88
10526.49,1121.1,8.84
10572.73,1125.07,8.88
10594.83,1124.66,8.82
10607.85,1125.59,8.85
10753.62,1142.71,9.08
10761.03,1139.78,9.02
10739.31,1134.28,8.9
10662.42,1124.83,8.81
10860.26,1148.67,9.1
10812.04,1142.16,9.05
10858.14,1147.7,9.15
10835.28,1144.73,9.18
10788.05,1141.2,9.17
10829.68,1146.24,9.2
10751.27,1137.03,9.07
10944.72,1160.75,9.33
10967.65,1159.97,9.31
10948.58,1158.06,9.29
11006.48,1165.15,9.42
11010.34,1165.32,9.42
11020.4,1169.77,9.46
11096.08,1178.1,9.6
11094.57,1173.81,9.58
11062.78,1176.19,9.55
11143.69,1184.71,9.64
10978.62,1165.9,9.45
11107.97,1178.17,9.56
11146.57,1180.26,9.52
11132.56,1183.08,9.55
11164.05,1185.62,9.59
11169.46,1185.64,9.57
11126.28,1182.45,9.53
11113.95,1183.78,9.47
11118.49,1183.26,9.5
11124.62,1184.38,9.46
11188.72,1193.57,9.63
11215.13,1197.96,9.66
11434.84,1221.06,9.93
11444.08,1225.85,9.99
11406.84,1223.25,10
11346.75,1213.4,9.86
11357.04,1218.71,9.99
11283.1,1213.54,9.95
11192.58,1199.21,9.78
11201.97,1197.75,9.79
11023.5,1178.34,9.6
11007.88,1178.59,9.63
11181.23,1196.69,9.8
11203.55,1199.73,9.85
11178.58,1197.84,9.86
11036.37,1180.73,9.75
11187.28,1198.35,9.96
11092,1189.4,9.9
11052.49,1187.76,9.9
11006.02,1180.55,9.83
11255.78,1206.07,10.03
11362.41,1221.53,10.17
11382.09,1224.71,10.25
11362.19,1223.12,10.29
11359.16,1223.75,10.33
11372.48,1228.28,10.35
11370.06,1233,10.42
11410.32,1240.4,10.54
